# Civ2.exe Function Index
# Generated by Ghidra headless decompiler
# Format: Address  Size  Name
# Total: 5149 decompiled, 1975 skipped (thunks/externals), 0 errors

0x0041E8FB    1483  FUN_0041e8fb
0x0041EEC6      12  FUN_0041eec6
0x0041EEDC      15  FUN_0041eedc
0x0041EEEB    1891  FUN_0041eeeb
0x0041F66E      12  FUN_0041f66e
0x0041F67A      12  FUN_0041f67a
0x0041F690      15  FUN_0041f690
0x0041F69F     473  FUN_0041f69f
0x0041F878      97  FUN_0041f878
0x0041F8D9    2326  FUN_0041f8d9
0x004201EF      12  FUN_004201ef
0x004201FB      12  FUN_004201fb
0x00420207      12  FUN_00420207
0x0042021D      14  FUN_0042021d
0x00421BB0      21  FUN_00421bb0
0x00421BD0      21  FUN_00421bd0
0x00421BF0      40  Realloc
0x00421C30      34  FUN_00421c30
0x00421C60      44  FUN_00421c60
0x00421CA0     108  FUN_00421ca0
0x00421D30      29  FUN_00421d30
0x00421D60      46  FUN_00421d60
0x00421DA0      29  FUN_00421da0
0x00421DD0      38  FUN_00421dd0
0x00421E00      46  Create
0x00421E40      32  FUN_00421e40
0x00421E70      37  FUN_00421e70
0x00421EA0      33  FUN_00421ea0
0x00421ED0      45  FUN_00421ed0
0x00421F10      33  FUN_00421f10
0x00421F40      31  FUN_00421f40
0x00421F70      61  FUN_00421f70
0x00421FAD      32  FUN_00421fad
0x00421FCD    8475  FUN_00421fcd
0x00424101      12  FUN_00424101
0x0042410D      12  FUN_0042410d
0x00424129      12  FUN_00424129
0x00424135      12  FUN_00424135
0x0042414B      17  FUN_0042414b
0x0042415C      30  FUN_0042415c
0x0042417A     126  FUN_0042417a
0x004241F8     324  FUN_004241f8
0x0042433C      96  FUN_0042433c
0x0042439C      83  FUN_0042439c
0x004243EF      96  FUN_004243ef
0x0042444F     145  FUN_0042444f
0x004244E0     424  FUN_004244e0
0x00424688     157  FUN_00424688
0x0042472A     136  FUN_0042472a
0x004247B2     189  FUN_004247b2
0x0042486F     634  FUN_0042486f
